"","Int-01","Int-02","Int-03","Int-04","Liv-01","Liv-02","Liv-03","Liv-04"
"Smp_093440",8,0,2,2,2,14,0,2
"Smp_093540",3,0,0,4,1,2,0,0
"Smp_093930",19,4,10,12,2,4,0,7
"Smp_093950",2,0,4,4,2,2,0,6
"Smp_094140",5,1,0,2,3,4,0,5
"Smp_094420",2,0,2,0,0,4,0,2
"Smp_094810",2,0,0,2,2,5,2,0
"Smp_095150",0,0,2,2,0,2,0,4
"Smp_095910",2,0,0,2,2,2,0,2
"Smp_096020",4,0,0,4,2,4,0,0
"Smp_096200",0,0,2,2,2,0,1,6
"Smp_096390",10,0,0,2,0,2,2,2
"Smp_096450",6,0,4,2,2,4,0,4
"Smp_096720",2,2,2,1,0,1,0,2
"Smp_096750",1,0,8,8,3,10,1,3
"Smp_097180",4,0,3,3,2,0,0,5
"Smp_097240",6,0,0,7,0,1,0,3
"Smp_097320",3,0,0,1,1,3,0,5
"Smp_097370",0,2,2,0,2,1,0,4
"Smp_097380",8,2,4,2,2,6,0,6
"Smp_097500",8,0,2,5,0,2,2,5
"Smp_097590",12,3,4,9,1,6,2,4
"Smp_097660",14,6,2,4,14,12,0,12
"Smp_097750",6,4,6,4,2,14,0,10
"Smp_097790",2,0,0,4,2,2,2,0
"Smp_097800",14,10,20,35,15,30,4,20
"Smp_098330",2,0,0,2,2,4,0,0
"Smp_098650",5,5,4,3,0,2,2,3
"Smp_098960",8,0,0,8,4,4,0,8
"Smp_099030",6,0,0,2,0,6,0,6
"Smp_099630",2,0,2,2,8,12,0,2
"Smp_099890",0,4,2,2,2,2,0,2
"Smp_100040",0,0,2,4,2,4,0,2
"Smp_100070",8,4,2,1,0,4,0,4
"Smp_100090",4,2,4,2,0,4,2,4
"Smp_100110",6,0,2,0,6,8,0,2
"Smp_101370",0,0,0,4,2,2,0,2
"Smp_101450",3,0,1,5,1,3,0,6
"Smp_101820",0,0,2,2,2,0,0,4
"Smp_102040",6,4,0,0,14,12,0,6
"Smp_102160",2,0,3,0,4,2,0,0
"Smp_102280",0,0,2,2,2,0,0,6
"Smp_102690",2,0,2,2,2,0,0,6
"Smp_103160",0,2,2,2,2,4,0,2
"Smp_103200",6,0,4,4,2,2,0,0
"Smp_103460",6,0,0,2,4,2,0,4
"Smp_103810",6,0,0,4,0,2,0,4
"Smp_103920",4,0,2,5,0,3,0,2
"Smp_103930",2,0,0,2,0,8,0,4
"Smp_103990",0,0,4,2,0,2,0,2
"Smp_104030",2,0,4,2,0,2,0,2
"Smp_104210",3,2,5,0,2,2,0,2
"Smp_104860",3,0,0,2,0,1,0,4
"Smp_104970",8,2,2,0,0,8,0,0
"Smp_105320",2,2,0,0,0,4,0,2
"Smp_105680",2,2,0,0,0,4,2,0
"Smp_106130",6,4,0,4,2,2,0,16
"Smp_113620",6,2,4,2,8,9,0,6
"Smp_113630",2,3,0,1,0,4,0,2
"Smp_118040",7,2,0,3,0,2,0,2
"Smp_119110",6,0,0,4,0,2,0,6
"Smp_119310",0,0,0,6,2,2,0,4
"Smp_120380",7,0,2,8,1,0,0,11
"Smp_121780",8,10,7,16,4,10,3,12
"Smp_121950",1,0,0,2,0,4,0,3
"Smp_121990",0,0,2,2,0,6,0,4
"Smp_122810",0,0,4,4,2,0,0,1
"Smp_122820",2,0,0,4,1,7,0,3
"Smp_122840",4,0,4,10,6,20,2,18
"Smp_123040",0,0,2,4,0,12,2,4
"Smp_123290",42,9,7,17,2,18,0,6
"Smp_123440",2,0,2,2,2,2,0,4
"Smp_123570",6,0,0,5,2,2,0,9
"Smp_123600",6,0,0,5,7,3,0,5
"Smp_123610",31,6,10,20,8,9,1,30
"Smp_124320",1,1,4,2,0,1,0,3
"Smp_124650",2,8,6,12,1,4,2,4
"Smp_124820",3,2,0,5,2,2,0,5
"Smp_125500",0,2,0,2,0,2,0,6
"Smp_125550",4,0,0,2,1,8,0,4
"Smp_126460",2,2,0,0,0,4,2,2
"Smp_126480",2,0,0,4,0,2,0,2
"Smp_126580",3,0,3,0,0,6,0,8
"Smp_126720",6,0,3,4,2,4,2,4
"Smp_127010",2,0,2,4,0,4,4,0
"Smp_127060",0,0,2,0,0,3,1,4
"Smp_127280",4,2,0,5,1,2,4,0
"Smp_127440",0,0,0,8,6,2,2,4
"Smp_127460",2,2,1,3,0,1,1,2
